211131,204718,210036,202322,200410,172025,161025,145639,490,489,487,485,00485s,204718s,00487s,00489s,00490s,145639s,161025s,172025s,200410s,202322s,210036s,211131s,00485f,204718,00487f,00489f,00490f,145639f,161025f,172025,200410f,202322f,210036f,211131f
1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2
1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1
2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2
1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1
1,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2
2,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,2,2
1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2
,2,,,,1,,,,,,,2,1,,,2,,2,,,,,,,,,,2,,,,,,,
1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,1,,1,1,,2,,1,,1,1,,,1,1,1,1,1,2,2,1,,1,2,,1,1,,1,,
1,1,1,1,2,1,2,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,1
,1,2,1,2,1,,1,2,2,1,1,1,,2,1,2,2,2,1,2,,2,2,2,1,2,,2,2,,1,2,,2,1
1,1,2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2
2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2
2,1,2,1,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2
1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1
2,1,2,2,1,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,1,2
2,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1
2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,1,2,1,2,2,2,1,1,2,1,1,1,2,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2
,,,,,,,1,,,,,,,2,,1,,,,,,,,,,,,,,,2,1,,,
1,1,2,1,2,1,2,2,1,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1
1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,1,2,1,2,1
2,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,2,2,2,1,2,2
2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1
2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,2,1,2,2,1,2,1,1,2,2,1,1,1
1,1,2,1,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1
1,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1
2,2,2,1,2,1,1,2,2,1,2,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1
1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1
2,1,1,1,2,1,1,1,2,1,2,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1
1,1,2,1,2,1,2,1,2,1,2,1,,2,2,2,,2,2,1,,2,2,1,,1,,2,2,1,,1,2,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,2,2
2,1,1,2,,,1,1,1,1,1,1,2,2,1,1,,2,1,1,2,,,,2,2,2,,,1,2,,2,,2,
1,1,2,2,2,2,2,1,2,,,1,,1,,1,,1,2,1,2,2,,2,1,2,,,,,,1,,1,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,,1,1,1,1,1,,1,,1,1,1,1,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
,,2,1,1,1,,1,1,2,,1,2,1,1,1,,1,2,1,2,1,,1,1,,1,2,1,2,,1,2,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
1,2,1,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,1
,1,,1,2,,,,,,,,,,,2,2,,,,,,1,,2,2,2,2,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,,,,,1,1,,,,,,1,,2,,,,,,2,,,,1
1,2,1,,2,1,2,2,1,2,2,2,2,2,2,1,,1,1,,1,1,2,1,,2,2,2,2,1,2,1,2,1,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,1,,1,,,2,,2,1,1,1,2,2,2,,2,1,,1,1,,2,1,2,2,,2,2,2,2,2,2,1
2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,2,1,2,1,2,1
1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,2,1,2,1,1,2
1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1
,2,,,1,1,1,1,1,,1,2,,,1,,1,,,,2,2,2,1,1,,1,1,,1,,,2,2,,1
1,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,1
1,1,1,1,2,1,,,1,,1,,2,1,2,2,,1,2,2,2,1,,2,1,1,2,1,,2,1,1,2,1,2,1
1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,2,1
2,1,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,2,2
2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1
1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1
1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2
1,2,1,1,2,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,1,1,2
,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,2,1,,1,,1,1,1,1,,,1,,,2,,1,,1,2,2,1,,,2,1,,1,2,1,,1
,,,,2,,,,1,,,,,,,,2,,,1,1,,,1,1,1,2,,2,2,2,1,,,2,1
1,1,1,1,2,1,2,2,1,1,2,1,,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2
1,,,2,2,2,,,,,,,1,,,,2,,,1,1,,1,,2,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,1,1,1,2,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1
1,1,2,1,2,1,1,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,2,1,1,1,2,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1
1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1
1,1,2,1,2,,2,,2,,1,,2,,2,,,,,2,,1,1,,,,1,,,1,,1,,,1,
1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,2,1
2,,,,,1,,,2,,2,,,,,,,,,1,1,,,,,1,2,,,,2,,,,2,
1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,1,1,2,1,2,1,2,2
1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2
,,2,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2
2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1
2,2,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1
2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,2,1,2,2,2,2,2,1,1
2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,2,2,1,2,2
1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,1,2,2,2,1,1,2,1,1,1,,,,1,2,2,1,2,1,2,2,1,1,2,,2,2,2,1,1,2,2,2
1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,2,1,1,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,2,1,,,,2,,2,,,,,,,,1,,,,,,1,,,2,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,,,,,,1,,1,,,,2,,,,,,,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,1,2,1,2,,1,1,2,,2,,,2,,,,2,2,2,1,1,2,2,2,2,,2,2,2,2,2
1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,2,1
1,,,,,,,,,,,,,,,,2,,,2,,,,1,,1,,2,,,,,,,,
,,,,,,,2,,,,,,,,,2,1,,,,,1,,1,,1,,,,,,2,,,
1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,1,2,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,
